,股票代码,p-value,时间长度,adf统计量,置信
176,EFX,0.9986392972505028,3996,1.9747994606689414,"{'1%': -3.431989566762815, '5%': -2.862264470909746, '10%': -2.567155643656634}"
177,EQIX,,3863,,
178,EQR,0.8497742295255197,3997,-0.6882319355068692,"{'1%': -3.4319999086046633, '5%': -2.8622690393645924, '10%': -2.5671580757111188}"
179,ESS,0.9864765600639447,3997,0.5558960836740643,"{'1%': -3.4319961705459843, '5%': -2.862267388098443, '10%': -2.5671571966457023}"
180,EL,0.45704209040168714,3997,-1.6499968062401589,"{'1%': -3.431989566762815, '5%': -2.862264470909746, '10%': -2.567155643656634}"
181,EVRG,,0,,
182,ES,,213,,
183,RE,0.9131021671772102,3997,-0.38174632042025225,"{'1%': -3.4319941011564126, '5%': -2.862266473956485, '10%': -2.567156709994697}"
184,EXC,0.33918631171742586,3997,-1.8849238345207557,"{'1%': -3.431999492426677, '5%': -2.862268855520438, '10%': -2.5671579778401203}"
185,EXPE,,2623,,
186,EXPD,0.009521118415154878,3997,-3.444869674343312,"{'1%': -3.431992449387031, '5%': -2.862265744295594, '10%': -2.5671563215537856}"
187,EXR,,2858,,
188,XOM,0.3980811456202783,3997,-1.76478219015742,"{'1%': -3.4319908009332663, '5%': -2.8622650160989567, '10%': -2.5671559338924497}"
189,FFIV,0.42264296656503575,3997,-1.7164783319155674,"{'1%': -3.4319978298121763, '5%': -2.862268121070097, '10%': -2.5671575868492806}"
190,FB,,903,,
191,FAST,0.0002574241288031228,3997,-4.434827024031022,"{'1%': -3.4319875139327345, '5%': -2.862263564080849, '10%': -2.567155160899137}"
192,FRT,0.9677317981925609,3997,0.125072425716316,"{'1%': -3.4319999086046633, '5%': -2.8622690393645924, '10%': -2.5671580757111188}"
193,FDX,0.6832113704208422,3997,-1.1774707673997795,"{'1%': -3.4319945146179958, '5%': -2.8622666566010153, '10%': -2.5671568072270095}"
194,FIS,,3647,,
195,FITB,0.6754686802725958,3997,-1.1956394770228873,"{'1%': -3.431995342165344, '5%': -2.862267022165729, '10%': -2.5671570018383933}"
196,FE,0.23408253143554159,3997,-2.126272030094184,"{'1%': -3.4319978298121763, '5%': -2.862268121070097, '10%': -2.5671575868492806}"
197,FRC,,1266,,
198,FISV,0.3265259055452819,3997,-1.9118099300996216,"{'1%': -3.431987924087406, '5%': -2.862263745264969, '10%': -2.56715525735392}"
199,FLT,,1262,,
200,FLIR,0.015963312804778,3997,-3.2764758854080043,"{'1%': -3.431987924087406, '5%': -2.862263745264969, '10%': -2.56715525735392}"
201,FLS,0.2572750879390223,3997,-2.068724586055954,"{'1%': -3.4319875139327345, '5%': -2.862263564080849, '10%': -2.567155160899137}"
202,FLR,,3785,,
203,FMC,0.08230652839406716,3997,-2.654189010396406,"{'1%': -3.431988334447595, '5%': -2.8622639265398497, '10%': -2.567155353857025}"
204,FL,0.9871956744002293,3997,0.5832603197949255,"{'1%': -3.431989566762815, '5%': -2.862264470909746, '10%': -2.567155643656634}"
205,F,0.0011661182054027261,3997,-4.050924452883051,"{'1%': -3.4319999086046633, '5%': -2.8622690393645924, '10%': -2.5671580757111188}"
206,FTNT,,1532,,
207,FTV,,0,,
208,FBHS,,1072,,
209,BEN,0.2813121728659927,3996,-2.012055855030117,"{'1%': -3.431988334447595, '5%': -2.8622639265398497, '10%': -2.567155353857025}"
210,FCX,0.27268843204215737,3996,-2.032075798964151,"{'1%': -3.431993274856645, '5%': -2.8622661089427317, '10%': -2.5671565156766474}"
211,GPS,0.03865132113627974,3997,-2.9614832233567494,"{'1%': -3.4320003249927113, '5%': -2.862269223301515, '10%': -2.567158173631508}"
212,GRMN,,3780,,
213,IT,0.9975106699566361,3997,1.496326999292564,"{'1%': -3.431989566762815, '5%': -2.862264470909746, '10%': -2.567155643656634}"
214,GD,0.3492081929928005,3997,-1.8639443604012929,"{'1%': -3.4319875139327345, '5%': -2.862263564080849, '10%': -2.567155160899137}"
215,GE,6.572842015083916e-10,3997,-7.020214478037535,"{'1%': -3.4320003249927113, '5%': -2.862269223301515, '10%': -2.567158173631508}"
216,GIS,0.046638476241463264,3997,-2.889031136477345,"{'1%': -3.431989566762815, '5%': -2.862264470909746, '10%': -2.567155643656634}"
217,GM,,1280,,
218,GPC,0.9165833829979455,3997,-0.3598900753643677,"{'1%': -3.4319978298121763, '5%': -2.862268121070097, '10%': -2.5671575868492806}"
219,GILD,0.20509581374190455,3997,-2.203173120093641,"{'1%': -3.431996999761174, '5%': -2.862267754399713, '10%': -2.5671573916492325}"
220,GPN,,3756,,
221,GS,0.24078010924644405,3996,-2.109328595593885,"{'1%': -3.4319949282875872, '5%': -2.8622668393374067, '10%': -2.567156904508229}"
222,GWW,0.8950732705251525,3997,-0.48414638215339706,"{'1%': -3.4319936879026813, '5%': -2.862266291403747, '10%': -2.5671566128112553}"
223,HAL,0.09002488738736975,3997,-2.614561528048191,"{'1%': -3.431987924087406, '5%': -2.862263745264969, '10%': -2.56715525735392}"
224,HBI,,2339,,
225,HOG,0.08015769220617508,3996,-2.6657344702659387,"{'1%': -3.431995342165344, '5%': -2.862267022165729, '10%': -2.5671570018383933}"
226,HRS,0.4503016057361203,3997,-1.6629386090407516,"{'1%': -3.4319875139327345, '5%': -2.862263564080849, '10%': -2.567155160899137}"
227,HIG,0.4622420693599025,3997,-1.6400358324961357,"{'1%': -3.4320003249927113, '5%': -2.862269223301515, '10%': -2.567158173631508}"
228,HAS,0.9721152609494005,3997,0.19739770637337414,"{'1%': -3.4320003249927113, '5%': -2.862269223301515, '10%': -2.567158173631508}"
229,HCA,,1204,,
230,HCP,0.0214520728418627,3997,-3.1754234485699624,"{'1%': -3.431987924087406, '5%': -2.862263745264969, '10%': -2.56715525735392}"
231,HP,0.1925326454249487,3997,-2.238607464696371,"{'1%': -3.4319875139327345, '5%': -2.862263564080849, '10%': -2.567155160899137}"
232,HSIC,0.9775921249021524,3997,0.30542736403455084,"{'1%': -3.431989155785145, '5%': -2.8622642893621704, '10%': -2.5671555470083454}"
233,HSY,0.4913738977322728,3997,-1.5845018811622549,"{'1%': -3.431989566762815, '5%': -2.862264470909746, '10%': -2.567155643656634}"
234,HES,0.018461466998727052,3997,-3.2272328927581233,"{'1%': -3.431987924087406, '5%': -2.862263745264969, '10%': -2.56715525735392}"
235,HPE,,32,,
236,HLT,,509,,
237,HFC,0.0277061059472129,3997,-3.0847034701396177,"{'1%': -3.431991624746321, '5%': -2.8622653800145192, '10%': -2.5671561276258172}"
238,HOLX,0.4016623029615418,3997,-1.7576861924538987,"{'1%': -3.431998660700255, '5%': -2.862268488110152, '10%': -2.567157782246144}"
239,HD,0.9988754281285833,3997,2.191488154257539,"{'1%': -3.4319936879026813, '5%': -2.862266291403747, '10%': -2.5671566128112553}"
240,HON,0.9222148153426973,3997,-0.32278440764173455,"{'1%': -3.4319875139327345, '5%': -2.862263564080849, '10%': -2.567155160899137}"
241,HRL,0.9843997644010869,3997,0.48467429571262277,"{'1%': -3.431988334447595, '5%': -2.8622639265398497, '10%': -2.567155353857025}"
242,HST,0.2485487773908393,3997,-2.090014388270596,"{'1%': -3.431987924087406, '5%': -2.862263745264969, '10%': -2.56715525735392}"
243,HPQ,1.860274396479288e-05,3997,-5.038605092438395,"{'1%': -3.4320003249927113, '5%': -2.862269223301515, '10%': -2.567158173631508}"
244,HUM,0.9938011759253993,3996,0.9578916598093808,"{'1%': -3.431996585049182, '5%': -2.8622675712029735, '10%': -2.5671572941229215}"
245,HBAN,0.7445522314833231,3996,-1.0236201024110587,"{'1%': -3.431999076458594, '5%': -2.862268671768981, '10%': -2.5671578800184744}"
246,HII,,1195,,
247,IDXX,0.22664932831976325,3996,-2.145414758863352,"{'1%': -3.431987924087406, '5%': -2.862263745264969, '10%': -2.56715525735392}"
248,INFO,,0,,
